Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
01/01/1985,-16.775,179.350,27.8000,0.0000,0.0000,0
01/02/1985,-16.775,179.350,27.9900,0.0000,0.0000,0
01/03/1985,-16.775,179.350,28.0600,0.0000,0.0000,0
01/04/1985,-16.775,179.350,26.9400,0.0000,0.0000,0
01/05/1985,-16.775,179.350,27.0300,0.0000,0.0000,0
01/06/1985,-16.775,179.350,27.1200,0.0000,0.0000,0
01/07/1985,-16.775,179.350,27.0900,0.0000,0.0000,0
01/08/1985,-16.775,179.350,27.1100,0.0000,0.0000,0
01/09/1985,-16.775,179.350,27.9500,0.0000,0.0000,0
01/10/1985,-16.775,179.350,28.2400,0.0000,0.0000,0
01/11/1985,-16.775,179.350,28.1700,0.0000,0.0000,0
01/12/1985,-16.775,179.350,27.7400,0.0000,0.0000,0
01/13/1985,-16.775,179.350,26.9300,0.0000,0.0000,0
01/14/1985,-16.775,179.350,27.3800,0.0000,0.0000,0
01/15/1985,-16.775,179.350,26.2300,0.0000,0.0000,0
01/16/1985,-16.775,179.350,26.4000,0.0000,0.0000,0
01/17/1985,-16.775,179.350,26.3000,0.0000,0.0000,0
01/18/1985,-16.775,179.350,26.7600,0.0000,0.0000,0
01/19/1985,-16.775,179.350,25.6400,0.0000,0.0000,0
01/20/1985,-16.775,179.350,25.9700,0.0000,0.0000,0
01/21/1985,-16.775,179.350,26.8800,0.0000,0.0000,0
01/22/1985,-16.775,179.350,26.8400,0.0000,0.0000,0
01/23/1985,-16.775,179.350,26.3400,0.0000,0.0000,0
01/24/1985,-16.775,179.350,27.4300,0.0000,0.0000,0
01/25/1985,-16.775,179.350,27.9400,0.0000,0.0000,0
01/26/1985,-16.775,179.350,27.9400,0.0000,0.0000,0
01/27/1985,-16.775,179.350,28.1200,0.0000,0.0000,0
01/28/1985,-16.775,179.350,26.9400,0.0000,0.0000,0
01/29/1985,-16.775,179.350,27.1200,0.0000,0.0000,0
01/30/1985,-16.775,179.350,26.9300,0.0000,0.0000,0
01/31/1985,-16.775,179.350,26.7400,0.0000,0.0000,0
02/01/1985,-16.775,179.350,26.5700,0.0000,0.0000,0
02/02/1985,-16.775,179.350,27.7900,0.0000,0.0000,0
02/03/1985,-16.775,179.350,26.3900,0.0000,0.0000,0
02/04/1985,-16.775,179.350,27.0000,0.0000,0.0000,0
02/05/1985,-16.775,179.350,27.0600,0.0000,0.0000,0
02/06/1985,-16.775,179.350,27.4400,0.0000,0.0000,0
02/07/1985,-16.775,179.350,27.3600,0.0000,0.0000,0
02/08/1985,-16.775,179.350,27.2100,0.0000,0.0000,0
02/09/1985,-16.775,179.350,27.4000,0.0000,0.0000,0
02/10/1985,-16.775,179.350,27.4500,0.0000,0.0000,0
02/11/1985,-16.775,179.350,28.6800,1.2400,0.0000,0
02/12/1985,-16.775,179.350,28.4800,1.1400,0.0000,0
02/13/1985,-16.775,179.350,28.5200,1.1400,0.0000,0
02/14/1985,-16.775,179.350,28.3200,0.9900,0.0000,0
02/15/1985,-16.775,179.350,28.8100,0.8200,0.0000,0
02/16/1985,-16.775,179.350,28.7800,0.7300,0.0000,0
02/17/1985,-16.775,179.350,28.7600,0.6800,0.0000,0
02/18/1985,-16.775,179.350,28.4600,0.6700,0.0000,0
02/19/1985,-16.775,179.350,28.6800,0.5500,0.0000,0
02/20/1985,-16.775,179.350,28.9400,0.8900,0.0000,0
02/21/1985,-16.775,179.350,28.3000,0.9000,0.0000,0
02/22/1985,-16.775,179.350,28.2400,0.9200,0.0000,0
02/23/1985,-16.775,179.350,28.9400,0.8200,0.0000,0
02/24/1985,-16.775,179.350,28.5000,0.7500,0.0000,0
02/25/1985,-16.775,179.350,28.6300,0.9000,0.0000,0
02/26/1985,-16.775,179.350,28.3700,0.9300,0.0000,0
02/27/1985,-16.775,179.350,28.7000,1.0500,0.0000,0
02/28/1985,-16.775,179.350,28.4700,0.8800,0.0000,0
03/01/1985,-16.775,179.350,29.1800,0.8300,0.0000,0
03/02/1985,-16.775,179.350,28.4700,0.6500,0.0000,0
03/03/1985,-16.775,179.350,28.7900,0.5800,0.0000,0
03/04/1985,-16.775,179.350,28.2300,0.5100,0.0000,0
03/05/1985,-16.775,179.350,28.2800,0.5800,0.0000,0
03/06/1985,-16.775,179.350,28.6400,0.5400,0.0000,0
03/07/1985,-16.775,179.350,28.6000,0.4900,0.0000,0
03/08/1985,-16.775,179.350,28.0400,0.0000,0.0000,0
03/09/1985,-16.775,179.350,28.0600,0.0000,0.0000,0
03/10/1985,-16.775,179.350,28.8100,0.0000,0.0000,0
03/11/1985,-16.775,179.350,28.1900,0.0200,0.0000,0
03/12/1985,-16.775,179.350,28.9000,0.2200,0.0000,0
03/13/1985,-16.775,179.350,28.9700,0.2800,0.0000,0
03/14/1985,-16.775,179.350,28.9200,0.2100,0.0000,0
03/15/1985,-16.775,179.350,28.7900,0.0300,0.0000,0
03/16/1985,-16.775,179.350,27.2200,0.0000,0.0000,0
03/17/1985,-16.775,179.350,28.2900,0.0000,0.0000,0
03/18/1985,-16.775,179.350,28.3200,0.0000,0.0000,0
03/19/1985,-16.775,179.350,27.6400,0.1200,0.0000,0
03/20/1985,-16.775,179.350,28.0600,0.4800,0.0000,0
03/21/1985,-16.775,179.350,28.5300,0.6900,0.0000,0
03/22/1985,-16.775,179.350,27.9200,0.5100,0.0000,0
03/23/1985,-16.775,179.350,27.9100,0.4500,0.0000,0
03/24/1985,-16.775,179.350,27.9700,0.6200,0.0000,0
03/25/1985,-16.775,179.350,27.2300,0.0000,0.6529,0
03/26/1985,-16.775,179.350,27.9700,0.0000,0.6529,0
03/27/1985,-16.775,179.350,27.7200,0.0000,0.6529,0
03/28/1985,-16.775,179.350,27.4500,0.0000,0.6529,0
03/29/1985,-16.775,179.350,28.0600,0.0100,0.6529,0
03/30/1985,-16.775,179.350,28.2800,0.3300,0.6529,0
03/31/1985,-16.775,179.350,28.2200,0.2700,0.6529,1
04/01/1985,-16.775,179.350,28.4900,0.4700,0.6529,1
04/02/1985,-16.775,179.350,29.1000,0.6900,0.6529,1
04/03/1985,-16.775,179.350,28.4900,0.3500,0.6529,1
04/04/1985,-16.775,179.350,28.2300,0.0800,0.6529,1
04/05/1985,-16.775,179.350,27.2300,0.0000,0.6529,1
04/06/1985,-16.775,179.350,28.3400,0.1400,0.6529,1
04/07/1985,-16.775,179.350,27.4000,0.0400,0.6529,1
04/08/1985,-16.775,179.350,27.3500,0.0000,0.6529,1
04/09/1985,-16.775,179.350,27.2400,0.0000,0.6529,1
04/10/1985,-16.775,179.350,27.6900,0.0000,0.6529,1
04/11/1985,-16.775,179.350,27.8500,0.0000,0.6529,1
04/12/1985,-16.775,179.350,28.3800,0.0000,0.6529,1
04/13/1985,-16.775,179.350,28.5100,0.0000,0.6529,1
04/14/1985,-16.775,179.350,28.7300,0.1600,0.6529,1
04/15/1985,-16.775,179.350,28.6000,0.0300,0.6529,1
04/16/1985,-16.775,179.350,28.3000,0.0000,0.6529,1
04/17/1985,-16.775,179.350,28.0000,0.0000,0.6529,1
04/18/1985,-16.775,179.350,27.8400,0.0000,0.6529,1
04/19/1985,-16.775,179.350,27.5100,0.0000,0.6529,1
04/20/1985,-16.775,179.350,27.6300,0.0000,0.6529,1
04/21/1985,-16.775,179.350,28.2100,0.0000,0.6529,1
04/22/1985,-16.775,179.350,28.7100,0.0500,0.6529,1
04/23/1985,-16.775,179.350,27.9400,0.0000,0.6529,1
04/24/1985,-16.775,179.350,27.6200,0.0000,0.6529,1
04/25/1985,-16.775,179.350,26.7300,0.0000,0.6529,1
04/26/1985,-16.775,179.350,26.8700,0.0000,0.6529,1
04/27/1985,-16.775,179.350,26.9800,0.0000,0.6529,1
04/28/1985,-16.775,179.350,26.8200,0.0000,0.6529,1
04/29/1985,-16.775,179.350,27.7200,0.0000,0.6529,0
04/30/1985,-16.775,179.350,27.5200,0.0000,0.6529,0
05/01/1985,-16.775,179.350,27.4600,0.0000,0.6529,0
05/02/1985,-16.775,179.350,27.7100,0.0000,0.6529,0
05/03/1985,-16.775,179.350,27.2100,0.0000,0.6529,0
05/04/1985,-16.775,179.350,27.0500,0.0000,0.6529,0
05/05/1985,-16.775,179.350,27.1700,0.0000,0.6529,0
05/06/1985,-16.775,179.350,28.1500,0.0000,0.4757,0
05/07/1985,-16.775,179.350,27.9600,0.0000,0.3129,0
05/08/1985,-16.775,179.350,27.9500,0.0000,0.1500,0
05/09/1985,-16.775,179.350,27.5100,0.0000,0.1500,0
05/10/1985,-16.775,179.350,26.9000,0.0000,0.1500,0
05/11/1985,-16.775,179.350,26.8300,0.0000,0.1500,0
05/12/1985,-16.775,179.350,26.4200,0.0000,0.1500,0
05/13/1985,-16.775,179.350,26.4800,0.0000,0.1500,0
05/14/1985,-16.775,179.350,26.2200,0.0000,0.1500,0
05/15/1985,-16.775,179.350,26.6100,0.0000,0.1500,0
05/16/1985,-16.775,179.350,26.7800,0.0000,0.1500,0
05/17/1985,-16.775,179.350,26.4000,0.0000,0.1500,0
05/18/1985,-16.775,179.350,26.4800,0.0000,0.1500,0
05/19/1985,-16.775,179.350,26.5200,0.0000,0.1500,0
05/20/1985,-16.775,179.350,27.2600,0.0000,0.1500,0
05/21/1985,-16.775,179.350,27.5100,0.0000,0.1500,0
05/22/1985,-16.775,179.350,28.1300,0.0000,0.0000,0
05/23/1985,-16.775,179.350,27.8600,0.0000,0.0000,0
05/24/1985,-16.775,179.350,28.0900,0.0000,0.0000,0
05/25/1985,-16.775,179.350,28.4000,0.0000,0.0000,0
05/26/1985,-16.775,179.350,28.3200,0.0000,0.0000,0
05/27/1985,-16.775,179.350,27.8400,0.0000,0.0000,0
05/28/1985,-16.775,179.350,27.9000,0.0000,0.0000,0
05/29/1985,-16.775,179.350,27.1100,0.0000,0.0000,0
05/30/1985,-16.775,179.350,27.0400,0.0000,0.0000,0
05/31/1985,-16.775,179.350,26.8900,0.0000,0.0000,0
06/01/1985,-16.775,179.350,27.2400,0.0000,0.0000,0
06/02/1985,-16.775,179.350,27.0300,0.0000,0.0000,0
06/03/1985,-16.775,179.350,27.0800,0.0000,0.0000,0
06/04/1985,-16.775,179.350,27.0600,0.0000,0.0000,0
06/05/1985,-16.775,179.350,27.5000,0.0000,0.0000,0
06/06/1985,-16.775,179.350,27.3300,0.0000,0.0000,0
06/07/1985,-16.775,179.350,27.0800,0.0000,0.0000,0
06/08/1985,-16.775,179.350,26.9100,0.0000,0.0000,0
06/09/1985,-16.775,179.350,26.8300,0.0000,0.0000,0
06/10/1985,-16.775,179.350,26.4800,0.0000,0.0000,0
06/11/1985,-16.775,179.350,26.6600,0.0000,0.0000,0
06/12/1985,-16.775,179.350,27.2400,0.0000,0.0000,0
06/13/1985,-16.775,179.350,27.4300,0.0000,0.0000,0
06/14/1985,-16.775,179.350,26.7800,0.0000,0.0000,0
06/15/1985,-16.775,179.350,26.4500,0.0000,0.0000,0
06/16/1985,-16.775,179.350,26.6000,0.0000,0.0000,0
06/17/1985,-16.775,179.350,26.4200,0.0000,0.0000,0
06/18/1985,-16.775,179.350,26.3100,0.0000,0.0000,0
06/19/1985,-16.775,179.350,26.5600,0.0000,0.0000,0
06/20/1985,-16.775,179.350,26.4000,0.0000,0.0000,0
06/21/1985,-16.775,179.350,26.1700,0.0000,0.0000,0
06/22/1985,-16.775,179.350,26.7600,0.0000,0.0000,0
06/23/1985,-16.775,179.350,26.7100,0.0000,0.0000,0
06/24/1985,-16.775,179.350,26.9600,0.0000,0.0000,0
06/25/1985,-16.775,179.350,26.6700,0.0000,0.0000,0
06/26/1985,-16.775,179.350,26.5200,0.0000,0.0000,0
06/27/1985,-16.775,179.350,25.8700,0.0000,0.0000,0
06/28/1985,-16.775,179.350,26.3800,0.0000,0.0000,0
06/29/1985,-16.775,179.350,26.3800,0.0000,0.0000,0
06/30/1985,-16.775,179.350,26.6800,0.0000,0.0000,0
07/01/1985,-16.775,179.350,26.6700,0.0000,0.0000,0
07/02/1985,-16.775,179.350,26.5800,0.0000,0.0000,0
07/03/1985,-16.775,179.350,26.7800,0.0000,0.0000,0
07/04/1985,-16.775,179.350,26.7100,0.0000,0.0000,0
07/05/1985,-16.775,179.350,26.5600,0.0000,0.0000,0
07/06/1985,-16.775,179.350,26.0700,0.0000,0.0000,0
07/07/1985,-16.775,179.350,26.1100,0.0000,0.0000,0
07/08/1985,-16.775,179.350,26.9400,0.0000,0.0000,0
07/09/1985,-16.775,179.350,27.0800,0.0000,0.0000,0
07/10/1985,-16.775,179.350,27.0200,0.0000,0.0000,0
07/11/1985,-16.775,179.350,26.1400,0.0000,0.0000,0
07/12/1985,-16.775,179.350,26.1000,0.0000,0.0000,0
07/13/1985,-16.775,179.350,26.0100,0.0000,0.0000,0
07/14/1985,-16.775,179.350,25.8400,0.0000,0.0000,0
07/15/1985,-16.775,179.350,25.7700,0.0000,0.0000,0
07/16/1985,-16.775,179.350,26.1400,0.0000,0.0000,0
07/17/1985,-16.775,179.350,25.6900,0.0000,0.0000,0
07/18/1985,-16.775,179.350,25.8300,0.0000,0.0000,0
07/19/1985,-16.775,179.350,26.1200,0.0000,0.0000,0
07/20/1985,-16.775,179.350,26.0800,0.0000,0.0000,0
07/21/1985,-16.775,179.350,25.4400,0.0000,0.0000,0
07/22/1985,-16.775,179.350,25.3400,0.0000,0.0000,0
07/23/1985,-16.775,179.350,25.9100,0.0000,0.0000,0
07/24/1985,-16.775,179.350,25.9900,0.0000,0.0000,0
07/25/1985,-16.775,179.350,26.6300,0.0000,0.0000,0
07/26/1985,-16.775,179.350,26.1200,0.0000,0.0000,0
07/27/1985,-16.775,179.350,26.2500,0.0000,0.0000,0
07/28/1985,-16.775,179.350,26.3200,0.0000,0.0000,0
07/29/1985,-16.775,179.350,26.4700,0.0000,0.0000,0
07/30/1985,-16.775,179.350,26.5100,0.0000,0.0000,0
07/31/1985,-16.775,179.350,26.5800,0.0000,0.0000,0
08/01/1985,-16.775,179.350,26.6300,0.0000,0.0000,0
08/02/1985,-16.775,179.350,26.5000,0.0000,0.0000,0
08/03/1985,-16.775,179.350,25.9100,0.0000,0.0000,0
08/04/1985,-16.775,179.350,26.5000,0.0000,0.0000,0
08/05/1985,-16.775,179.350,25.7400,0.0000,0.0000,0
08/06/1985,-16.775,179.350,25.6100,0.0000,0.0000,0
08/07/1985,-16.775,179.350,25.7900,0.0000,0.0000,0
08/08/1985,-16.775,179.350,25.8400,0.0000,0.0000,0
08/09/1985,-16.775,179.350,25.8900,0.0000,0.0000,0
08/10/1985,-16.775,179.350,25.6100,0.0000,0.0000,0
08/11/1985,-16.775,179.350,25.4200,0.0000,0.0000,0
08/12/1985,-16.775,179.350,25.9100,0.0000,0.0000,0
08/13/1985,-16.775,179.350,25.7800,0.0000,0.0000,0
08/14/1985,-16.775,179.350,25.6200,0.0000,0.0000,0
08/15/1985,-16.775,179.350,26.2200,0.0000,0.0000,0
08/16/1985,-16.775,179.350,25.8800,0.0000,0.0000,0
08/17/1985,-16.775,179.350,26.3200,0.0000,0.0000,0
08/18/1985,-16.775,179.350,26.2100,0.0000,0.0000,0
08/19/1985,-16.775,179.350,26.2300,0.0000,0.0000,0
08/20/1985,-16.775,179.350,26.4300,0.0000,0.0000,0
08/21/1985,-16.775,179.350,26.5000,0.0000,0.0000,0
08/22/1985,-16.775,179.350,26.5200,0.0000,0.0000,0
